name,club,playing_position,minutes_played,bigindex_score,bigindex_score_rounded,man_of_the_match,comment,,,,,,,,,,,,,
David de Gea,MUN,GK,90,55.798,55.8,,,,,,,,,,,,,,,
Phil Jones,MUN,DF,90,72.482,72.5,,,,,,,,,,,,,,,
Tyler Blackett,MUN,DF,90,60.856,60.9,,,,,,,,,,,,,,,
Chris Smalling,MUN,DF,90,66.988,67.0,,,,,,,,,,,,,,,
Jesse Lingard,MUN,MF,24,0,0.0,,Not enough minutes played,,,,,,,,,,,,,
Ander Herrera,MUN,MF,67,59.784,59.8,,,,,,,,,,,,,,,
Darren Fletcher,MUN,MF,90,61.626,61.6,,,,,,,,,,,,,,,
Ashley Young,MUN,MF,90,61.546,61.5,,,,,,,,,,,,,,,
Juan Mata,MUN,MF,90,61.254,61.3,,,,,,,,,,,,,,,
Javier Hernandez,MUN,FW,45,57.578,57.6,,,,,,,,,,,,,,,
Wayne Rooney,MUN,FW,90,75.798,75.8,,,,,,,,,,,,,,,
Adnan Januzaj,MUN,MF,66,62.964,63.0,,,,,,,,,,,,,,,
Nani,MUN,MF,45,59.394,59.4,,,,,,,,,,,,,,,
Marouane Fellaini,MUN,MF,23,0,0.0,,Not enough minutes played,,,,,,,,,,,,,
Lukasz Fabianski,SWA,GK,90,72.808,72.8,,,,,,,,,,,,,,,
Angel Rangel,SWA,DF,90,65.55,65.6,,,,,,,,,,,,,,,
Ashley Williams,SWA,DF,90,76.616,76.6,,,,,,,,,,,,,,,
Jordi Amat,SWA,DF,90,63.9,63.9,,,,,,,,,,,,,,,
Neil Taylor,SWA,DF,53,59.202,59.2,,,,,,,,,,,,,,,
Jonjo Shelvey,SWA,MF,90,68.06,68.1,,,,,,,,,,,,,,,
Ki Sung-Yueng,SWA,MF,90,76.758,76.8,,,,,,,,,,,,,,,
Nathan Dyer,SWA,MF,57,63.806,63.8,,,,,,,,,,,,,,,
Gylfi Sigurdsson,SWA,MF,90,80.49,80.5,1,,,,,,,,,,,,,,
Wayne Routledge,SWA,MF,90,65.022,65.0,,,,,,,,,,,,,,,
Wilfied Bony,SWA,FW,77,66.2,66.2,,,,,,,,,,,,,,,
Jefferson Montero,SWA,MF,23,0,0.0,,Not enough minutes played,,,,,,,,,,,,,
Bafetimbi Gomis,SWA,FW,13,0,0.0,,Not enough minutes played,,,,,,,,,,,,,
Dwight Tiendalli,SWA,DF,37,64.57,64.6,,,,,,,,,,,,,,,
