name,club,playing_position,minutes_played,bigindex_score,bigindex_score_rounded,man_of_the_match,comment,,,,,,,,,,
Brad Guzan,AVL,GK,90,73.271,73.3,,,,,,,,,,,,
Alan Hutton,AVL,DF,90,74.132,74.1,1,,,,,,,,,,,
Philippe Senderos,AVL,DF,90,64.561,64.6,,,,,,,,,,,,
Ron Vlaar,AVL,DF,90,70.671,70.7,,,,,,,,,,,,
Aly Cissokho,AVL,DF,82,70.070,70.1,,,,,,,,,,,,
Fabian Delph,AVL,MF,90,71.922,71.9,,,,,,,,,,,,
Ashley Westwood,AVL,MF,90,65.162,65.2,,,,,,,,,,,,
Charles N'Zogbia,AVL,MF,62,60.060,60.1,,,,,,,,,,,,
Kieran Richardson,AVL,MF,76,65.211,65.2,,,,,,,,,,,,
Andreas Weimann,AVL,FW,90,59.913,59.9,,,,,,,,,,,,
Gabriel Agbonlahor,AVL,FW,90,60.612,60.6,,,,,,,,,,,,
Tim Krul,NEW,GK,90,62.611,62.6,,,,,,,,,,,,
Daryl Janmaat,NEW,DF,90,71.321,71.3,,,,,,,,,,,,
Fabricio Coloccini,NEW,DF,90,69.420,69.4,,,,,,,,,,,,
Michael Williamson,NEW,DF,90,66.413,66.4,,,,,,,,,,,,
Paul Dummett,NEW,DF,90,67.811,67.8,,,,,,,,,,,,
Vurnon Anita,NEW,MF,70,63.862,63.9,,,,,,,,,,,,
Remy Cabella,NEW,MF,90,67.274,67.3,,,,,,,,,,,,
Moussa Sissoko,NEW,MF,90,63.911,63.9,,,,,,,,,,,,
Jack Colback,NEW,MF,90,62.773,62.8,,,,,,,,,,,,
Yoan Gouffran,NEW,MF,90,63.212,63.2,,,,,,,,,,,,
Emmanuel Riviere,NEW,FW,77,62.822,62.8,,,,,,,,,,,,
Thiabut Courtois,CHE,GK,90,73.369,73.4,,,,,,,,,,,,
Branislav Ivanovic,CHE,DF,90,83.931,83.9,,,,,,,,,,,,
John Terry,CHE,DF,90,73.271,73.3,,,,,,,,,,,,
Gary Cahill,CHE,DF,90,75.221,75.2,,,,,,,,,,,,
Cesar Azpilicueta,CHE,DF,90,77.171,77.2,,,,,,,,,,,,
Cesc Fabregas,CHE,MF,90,73.921,73.9,,,,,,,,,,,,
Nemanja Matic,CHE,MF,90,72.621,72.6,,,,,,,,,,,,
Andre Schurrle,CHE,MF,64,64.561,64.6,,,,,,,,,,,,
Oscar,CHE,MF,70,73.109,73.1,,,,,,,,,,,,
Eden Hazard,CHE,MF,90,85.832,85.8,1,,,,,,,,,,,
Diego Costa,CHE,FW,80,74.620,74.6,,,,,,,,,,,,
Kasper Schmeichel,LEI,GK,90,73.970,74.0,,,,,,,,,,,,
Ritchie de Laet,LEI,DF,90,63.261,63.3,,,,,,,,,,,,
Liam Moore,LEI,DF,90,64.561,64.6,,,,,,,,,,,,
Wes Morgan,LEI,DF,90,65.211,65.2,,,,,,,,,,,,
Paul Konchesky,LEI,DF,90,66.121,66.1,,,,,,,,,,,,
Riyad Mahrez,LEI,MF,68,65.910,65.9,,,,,,,,,,,,
Andy King,LEI,MF,90,63.261,63.3,,,,,,,,,,,,
Leonardo Ulloa,LEI,FW,84,60.612,60.6,,,,,,,,,,,,
David Nugent,LEI,FW,90,60.011,60.0,,,,,,,,,,,,
Dean Hammond,LEI,MF,73,65.211,65.2,,,,,,,,,,,,
Jeffrey Schlupp,LEI,DF,90,66.072,66.1,,,,,,,,,,,,
Julian Speroni,CRY,GK,90,65.910,65.9,,,,,,,,,,,,
Martin Kelly,CRY,DF,90,67.860,67.9,,,,,,,,,,,,
Brede Hangeland,CRY,DF,90,61.262,61.3,,,,,,,,,,,,
Joel Ward,CRY,DF,90,63.960,64.0,,,,,,,,,,,,
Mile Jedinak,CRY,MF,90,77.171,77.2,,,,,,,,,,,,
Yannick Bolasie,CRY,MF,90,56.599,56.6,,,,,,,,,,,,
Marouane Chamakh,CRY,FW,90,67.210,67.2,,,,,,,,,,,,
Fraizer Campbell,CRY,FW,70,57.703,57.7,,,,,,,,,,,,
Stuart O'Keefe,CRY,DF,83,59.864,59.9,,,,,,,,,,,,
Damien Delaney,CRY,DF,90,55.201,55.2,,,,,,,,,,,,
Barry Bannan,CRY,MF,71,63.960,64.0,,,,,,,,,,,,
Adrian,WHU,GK,90,66.121,66.1,,,,,,,,,,,,
Joey O'Brien,WHU,DF,90,67.860,67.9,,,,,,,,,,,,
Winston Reid,WHU,DF,90,71.321,71.3,,,,,,,,,,,,
Aaron Cresswell,WHU,DF,90,68.721,68.7,,,,,,,,,,,,
Cheikhou Kouyate,WHU,MF,90,81.331,81.3,,,,,,,,,,,,
Mark Noble,WHU,MF,90,69.371,69.4,,,,,,,,,,,,
Stewart Downing,WHU,MF,90,85.491,85.5,1,,,,,,,,,,,
Ricardo Vaz Te,WHU,MF,90,68.510,68.5,,,,,,,,,,,,
Carlton Cole,WHU,FW,68,71.971,72.0,,,,,,,,,,,,
James Tomkins,WHU,DF,90,72.621,72.6,,,,,,,,,,,,
Mauro Zarate,WHU,MF,83,80.681,80.7,,,,,,,,,,,,
Fraser Forster,SOU,GK,90,71.159,71.2,,,,,,,,,,,,
Nathaniel Clyne,SOU,DF,90,65.910,65.9,,,,,,,,,,,,
Jose Fonte,SOU,DF,90,67.259,67.3,,,,,,,,,,,,
Maya Yoshida,SOU,DF,90,65.910,65.9,,,,,,,,,,,,
Ryan Bertrand,SOU,DF,90,66.511,66.5,,,,,,,,,,,,
Steven Davis,SOU,MF,45,62.709,62.7,,,,,,,,,,,,
Morgan Schneiderlin,SOU,MF,90,70.021,70.0,,,,,,,,,,,,
